2024-02-07 11:45:04,986 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Configure stats pid to 276881
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Loading settings from /home/muneeb/.config/wandb/settings
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Loading settings from /home/muneeb/Desktop/zuha/wandb/settings
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'tools/test.py', 'program_abspath': '/home/muneeb/Desktop/zuha/tools/test.py', 'program': 'tools/test.py'}
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_init.py:_log_setup():526] Logging user logs to /home/muneeb/Desktop/zuha/wandb/run-20240207_114504-a7d1kqo3/logs/debug.log
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_init.py:_log_setup():527] Logging internal logs to /home/muneeb/Desktop/zuha/wandb/run-20240207_114504-a7d1kqo3/logs/debug-internal.log
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_init.py:init():566] calling init triggers
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_init.py:init():616] starting backend
2024-02-07 11:45:04,987 INFO    MainThread:276881 [wandb_init.py:init():620] setting up manager
2024-02-07 11:45:04,988 INFO    MainThread:276881 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-07 11:45:04,989 INFO    MainThread:276881 [wandb_init.py:init():628] backend started and connected
2024-02-07 11:45:04,990 INFO    MainThread:276881 [wandb_init.py:init():720] updated telemetry
2024-02-07 11:45:04,991 INFO    MainThread:276881 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-07 11:45:05,705 INFO    MainThread:276881 [wandb_run.py:_on_init():2254] communicating current version
2024-02-07 11:45:06,235 INFO    MainThread:276881 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-07 11:45:06,236 INFO    MainThread:276881 [wandb_init.py:init():804] starting run threads in backend
2024-02-07 11:45:06,305 INFO    MainThread:276881 [wandb_run.py:_console_start():2233] atexit reg
2024-02-07 11:45:06,306 INFO    MainThread:276881 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-07 11:45:06,306 INFO    MainThread:276881 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-07 11:45:06,306 INFO    MainThread:276881 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-07 11:45:06,307 INFO    MainThread:276881 [wandb_init.py:init():847] run started, returning control to user process
